customer_id,age,tenure_months,contract_type,payment_method,paperless_billing,international_plan,avg_monthly_gb,support_tickets_6m,outages_3m,late_payments_12m,app_sessions_30d,add_ons,monthly_charges,total_charges,churn
C100025,52,47,month-to-month,mailed-check,yes,no,6.97,0,0,1,14,2,76.56,3687.04,0
C100026,44,29,month-to-month,credit-card,no,no,49.47,2,0,3,9,2,93.0,2824.2,0
C100027,42,60,month-to-month,bank-transfer,yes,no,32.08,0,0,2,16,0,55.53,3315.64,1
C100028,53,39,two-year,credit-card,yes,no,30.34,0,0,2,15,1,47.32,1909.64,0
C100029,45,32,one-year,credit-card,no,yes,23.21,2,1,1,14,0,45.7,1519.96,0
C100030,40,32,one-year,electronic-check,yes,no,78.99,2,0,0,23,0,62.24,2026.82,0
C100031,57,16,month-to-month,credit-card,yes,no,22.8,0,1,0,21,0,51.9,879.99,1
C100032,40,6,one-year,mailed-check,no,no,20.04,0,0,2,20,2,55.06,432.14,0
C100033,35,40,one-year,credit-card,yes,no,19.53,1,0,1,21,1,68.08,2806.28,0
C100034,29,64,month-to-month,credit-card,yes,no,44.25,3,2,0,17,3,81.78,5304.0,1
C100035,47,4,month-to-month,credit-card,yes,no,22.02,0,0,1,16,0,63.35,381.03,1
C100036,54,62,month-to-month,credit-card,no,no,26.7,1,1,3,17,3,102.19,6438.73,0
C100037,38,60,month-to-month,credit-card,yes,no,46.5,0,0,0,12,0,71.8,4432.75,0
C100038,55,20,two-year,electronic-check,yes,no,30.83,0,0,1,10,2,64.11,1332.67,0
C100039,18,46,one-year,mailed-check,yes,no,39.24,0,0,5,18,0,49.89,2346.31,0
C100040,38,12,month-to-month,electronic-check,yes,no,12.22,1,0,1,14,0,37.26,536.36,0
C100041,39,55,two-year,credit-card,no,no,8.44,2,0,0,11,2,90.72,5046.24,0
C100042,30,51,month-to-month,bank-transfer,yes,no,56.13,0,3,0,19,3,82.63,4379.6,1
C100043,68,25,month-to-month,bank-transfer,no,yes,38.35,0,0,0,13,1,85.31,2191.79,0
C100044,38,4,two-year,electronic-check,no,no,33.08,0,0,1,19,2,76.14,404.22,0
C100045,34,70,two-year,bank-transfer,yes,no,27.97,1,0,2,14,0,51.33,3663.49,0
C100046,39,32,one-year,mailed-check,no,no,21.75,0,0,0,16,2,51.29,1653.18,0
C100047,18,65,month-to-month,credit-card,no,no,12.6,0,0,0,8,0,59.43,3869.03,0
C100048,30,49,two-year,credit-card,no,no,12.26,0,0,0,21,3,116.18,5764.42,0
C100049,51,56,one-year,mailed-check,yes,no,8.3,1,0,1,15,1,74.47,4237.69,0
C100050,31,55,one-year,credit-card,yes,no,6.15,1,0,1,18,2,75.73,4264.82,0
C100051,29,14,month-to-month,electronic-check,yes,no,10.64,1,1,1,18,1,73.86,1097.98,0
C100052,55,26,month-to-month,electronic-check,yes,no,16.44,0,1,0,17,0,64.77,1729.75,0
C100053,55,34,two-year,bank-transfer,yes,no,55.85,0,0,3,15,0,73.58,2552.91,0
C100054,45,36,two-year,bank-transfer,yes,yes,5.91,0,0,1,10,1,55.46,2044.84,0
C100055,34,3,one-year,electronic-check,no,yes,23.82,1,0,2,15,0,61.65,234.56,1
C100056,36,39,month-to-month,electronic-check,no,no,59.4,2,1,1,15,2,58.65,2329.84,1
C100057,29,11,one-year,mailed-check,yes,no,44.02,0,0,2,17,2,49.72,560.81,1
C100058,27,54,month-to-month,electronic-check,no,no,22.1,1,0,0,8,0,64.75,3532.21,0
C100059,26,49,month-to-month,mailed-check,yes,no,12.93,0,1,4,12,1,78.48,3953.11,1
C100060,32,67,month-to-month,mailed-check,yes,no,3.45,1,0,2,13,3,81.38,5509.7,0
C100061,27,54,month-to-month,credit-card,no,no,24.34,1,2,0,11,1,63.85,3540.34,0
C100062,20,26,one-year,electronic-check,yes,no,35.06,1,0,1,13,2,77.06,2084.6,0
C100063,42,70,month-to-month,electronic-check,yes,no,13.18,1,1,0,16,0,69.65,5012.42,1
C100064,42,29,month-to-month,electronic-check,no,no,46.06,0,0,0,14,2,82.83,,0
C100065,59,23,two-year,electronic-check,no,no,20.24,1,0,0,20,0,60.16,1464.09,0
C100066,31,66,one-year,bank-transfer,no,no,27.2,0,0,0,14,0,64.89,4310.38,0
C100067,43,27,month-to-month,mailed-check,yes,no,22.13,0,1,1,13,1,76.26,,0
C100068,43,5,month-to-month,electronic-check,yes,yes,45.66,2,0,1,17,3,61.86,437.77,1
C100069,36,34,one-year,credit-card,yes,no,46.62,0,0,0,10,1,72.85,2581.84,0
C100070,48,58,month-to-month,credit-card,yes,no,31.64,0,1,1,16,3,69.7,4067.22,0
C100071,48,13,month-to-month,electronic-check,no,no,17.75,1,2,0,9,2,90.85,1294.61,1
C100072,43,33,month-to-month,electronic-check,yes,no,21.51,0,0,0,11,2,81.19,2786.54,0
C100073,36,9,month-to-month,credit-card,no,no,81.26,0,0,1,22,2,82.16,877.92,0
C100074,35,50,one-year,bank-transfer,yes,no,61.66,0,0,1,21,0,56.48,2850.51,0
C100075,23,34,month-to-month,credit-card,yes,no,22.96,1,0,0,10,2,93.95,3282.89,1
C100076,29,24,month-to-month,electronic-check,yes,no,8.75,2,0,1,16,2,69.79,1726.87,0
C100077,32,16,month-to-month,credit-card,yes,no,40.8,1,0,0,17,2,78.33,1339.36,1
C100078,26,41,month-to-month,electronic-check,yes,no,15.38,0,0,0,9,1,68.29,2854.36,0
C100079,44,48,month-to-month,electronic-check,no,no,54.12,1,0,0,15,0,63.15,3119.58,0
C100080,53,68,two-year,bank-transfer,no,yes,13.06,0,0,0,16,3,100.31,6872.7,0
C100081,28,31,month-to-month,bank-transfer,no,no,15.52,0,1,0,21,0,36.62,1178.0,0
C100082,42,11,month-to-month,electronic-check,yes,no,7.95,1,1,5,14,1,63.18,709.22,1
C100083,27,60,month-to-month,electronic-check,no,no,68.94,1,0,1,21,0,34.86,2167.26,1
C100084,35,45,one-year,credit-card,no,no,10.27,2,1,0,17,0,60.43,2770.39,0
C100085,31,51,month-to-month,electronic-check,yes,no,38.64,1,0,0,16,0,49.63,2574.87,0
C100086,46,7,two-year,electronic-check,no,no,19.37,0,1,1,9,1,64.39,544.08,0
C100087,31,22,one-year,electronic-check,no,no,15.71,1,0,2,18,0,46.68,1080.85,0
C100088,51,56,month-to-month,electronic-check,no,no,15.01,2,0,0,11,2,65.83,3752.39,0
C100089,36,60,one-year,credit-card,no,yes,53.39,1,0,1,14,0,52.99,3211.3,0
C100090,31,31,month-to-month,electronic-check,yes,no,110.94,0,0,1,18,0,62.64,1997.25,0
C100091,24,58,two-year,mailed-check,yes,no,49.61,0,0,0,21,0,66.21,3872.7,0
C100092,42,61,two-year,bank-transfer,yes,no,4.42,3,1,1,17,0,46.42,2842.9,0
C100093,50,28,month-to-month,electronic-check,yes,no,38.77,2,0,1,10,0,58.98,1722.58,1
C100094,42,65,one-year,bank-transfer,yes,no,19.48,2,0,2,19,2,74.2,4850.38,0
C100095,66,21,month-to-month,electronic-check,yes,no,20.38,2,1,3,17,2,64.93,1420.92,1
C100096,56,17,month-to-month,credit-card,no,no,25.7,0,1,0,17,0,61.09,1107.8,1
C100097,35,49,one-year,credit-card,yes,no,22.29,0,0,2,21,0,40.78,2051.01,0
C100098,35,46,two-year,credit-card,no,no,31.7,1,0,1,7,1,57.22,2608.78,0
C100099,45,10,month-to-month,mailed-check,no,no,18.82,0,1,2,21,1,77.83,832.94,1
C100100,29,60,one-year,credit-card,yes,no,41.47,1,0,0,16,3,59.62,3665.53,0
C100101,53,14,one-year,bank-transfer,yes,no,23.51,0,0,1,19,3,78.49,1197.62,0
C100102,43,58,month-to-month,mailed-check,no,no,23.87,3,0,0,21,0,57.27,3380.2,0
C100103,42,0,one-year,electronic-check,yes,no,21.99,0,1,0,10,2,69.8,,0
C100104,47,58,one-year,electronic-check,yes,no,38.68,2,0,1,9,1,61.56,3625.09,0
C100105,60,57,one-year,electronic-check,no,no,16.51,0,0,1,16,3,78.24,4550.96,0
C100106,41,56,two-year,electronic-check,yes,no,31.78,1,0,0,12,1,60.7,3446.85,1
C100107,38,48,month-to-month,credit-card,yes,no,24.38,1,0,0,13,1,54.58,2691.91,0
C100108,57,34,month-to-month,credit-card,no,no,53.94,0,2,2,20,1,83.8,2966.05,1
C100109,51,51,month-to-month,electronic-check,yes,yes,17.33,0,0,2,15,0,65.27,3382.03,1
C100110,35,20,month-to-month,credit-card,yes,no,42.05,2,0,0,12,1,69.2,1472.89,1
C100111,39,56,month-to-month,bank-transfer,yes,no,27.98,1,0,4,17,0,55.83,3164.28,0
C100112,41,40,two-year,mailed-check,yes,no,51.28,0,0,2,22,1,59.75,2437.31,0
C100113,43,33,month-to-month,credit-card,yes,no,23.8,1,0,0,15,0,55.83,1918.8,1
C100114,23,36,one-year,bank-transfer,yes,no,16.08,1,0,1,11,1,55.09,2106.18,0
C100115,20,41,month-to-month,bank-transfer,yes,no,15.96,1,1,0,14,2,92.46,3875.81,0
C100116,28,2,month-to-month,electronic-check,no,no,26.13,0,2,1,12,1,54.34,246.33,0
C100117,27,10,two-year,electronic-check,no,yes,22.4,0,0,0,23,0,41.34,435.67,0
C100118,31,17,one-year,credit-card,yes,no,16.85,0,1,1,10,1,97.75,1796.51,0
C100119,47,8,month-to-month,electronic-check,no,yes,26.54,1,0,1,19,1,61.59,590.67,0
C100120,37,32,two-year,electronic-check,yes,no,1.82,0,0,0,13,0,44.71,1519.35,0
C100121,41,48,month-to-month,electronic-check,no,no,19.66,1,1,1,15,0,65.37,3190.45,0
C100122,24,47,month-to-month,mailed-check,yes,no,22.93,0,1,0,11,0,40.36,1955.16,0
C100123,33,34,month-to-month,mailed-check,no,no,5.41,0,0,1,13,1,54.0,1896.31,0
C100124,46,62,one-year,credit-card,no,no,9.73,1,0,0,17,1,77.31,4865.38,0
C100125,46,41,month-to-month,mailed-check,yes,no,10.28,0,0,1,15,2,95.07,,1
C100126,30,5,two-year,credit-card,yes,yes,21.52,0,1,0,20,1,73.29,391.62,0
C100127,41,55,month-to-month,bank-transfer,yes,no,18.6,0,1,0,9,0,64.84,3628.44,1
C100128,65,41,month-to-month,mailed-check,yes,no,18.79,0,1,2,12,0,72.87,3046.05,0
C100129,39,46,two-year,electronic-check,yes,no,5.49,0,0,1,14,0,51.91,2431.81,0
C100130,31,41,month-to-month,electronic-check,no,no,44.57,1,0,1,18,0,40.1,1641.76,0
C100131,37,40,month-to-month,credit-card,yes,no,52.44,0,1,1,15,2,64.74,2643.98,0
C100132,40,6,month-to-month,credit-card,yes,no,6.99,1,0,1,14,1,80.26,571.81,0
C100133,37,40,month-to-month,mailed-check,no,no,17.85,0,0,0,15,1,50.89,2055.37,0
C100134,39,58,month-to-month,credit-card,no,yes,18.48,1,0,0,12,2,74.3,4394.85,1
C100135,22,22,month-to-month,credit-card,yes,no,29.56,1,1,2,18,1,65.07,1500.74,0
C100136,27,44,one-year,electronic-check,no,no,15.93,1,0,0,15,2,79.21,3552.53,0
C100137,37,2,month-to-month,bank-transfer,no,no,41.79,1,1,0,17,0,64.79,214.72,1
C100138,37,25,month-to-month,credit-card,no,no,9.15,1,0,1,20,1,71.61,1895.76,0
C100139,32,31,one-year,credit-card,yes,no,35.21,1,0,2,20,1,101.45,3230.84,0
C100140,37,71,month-to-month,electronic-check,yes,yes,28.94,0,0,0,8,1,75.69,5425.48,1
C100141,40,15,one-year,electronic-check,yes,no,7.79,0,0,0,13,2,87.58,1423.03,0
C100142,50,20,one-year,mailed-check,no,no,17.26,2,1,1,10,1,63.52,1312.93,0
C100143,38,29,month-to-month,electronic-check,no,no,8.59,1,1,0,11,2,98.13,2901.74,0
C100144,44,72,month-to-month,electronic-check,no,no,71.9,0,0,0,19,3,79.02,5793.14,0
C100145,33,62,month-to-month,bank-transfer,yes,no,19.81,1,0,0,16,1,76.82,4821.32,0
C100146,46,2,month-to-month,mailed-check,yes,no,15.56,1,0,1,21,1,61.98,203.94,0
C100147,44,17,month-to-month,electronic-check,no,no,4.6,1,0,0,15,2,82.35,1435.95,0
C100148,49,59,one-year,bank-transfer,yes,no,27.78,0,0,1,13,1,72.37,4350.69,0
C100149,48,4,one-year,electronic-check,yes,no,16.99,1,0,0,16,0,71.52,357.85,1
C100150,46,62,month-to-month,mailed-check,no,no,34.93,0,1,0,12,2,84.44,5347.78,1
C100151,38,20,two-year,credit-card,no,no,58.34,1,0,1,13,1,69.64,1401.66,0
C100152,42,66,month-to-month,credit-card,yes,no,38.26,2,0,0,21,0,69.48,4609.56,1
C100153,52,21,two-year,electronic-check,no,yes,9.82,1,0,1,18,1,55.42,1262.09,0
C100154,31,31,two-year,credit-card,yes,no,15.71,0,0,0,18,0,34.79,1109.82,0
C100155,31,48,month-to-month,credit-card,yes,yes,7.15,0,0,1,17,1,39.43,1891.81,0
C100156,41,9,month-to-month,bank-transfer,yes,no,12.9,1,0,2,11,1,82.89,842.98,0
C100157,44,40,month-to-month,credit-card,yes,no,43.28,0,0,0,17,2,76.5,,0
C100158,29,36,two-year,electronic-check,yes,no,13.68,3,0,0,10,1,69.04,2529.76,0
C100159,38,57,month-to-month,electronic-check,yes,yes,35.18,2,1,0,10,0,52.99,3131.12,0
C100160,38,72,two-year,credit-card,yes,no,14.98,0,1,0,11,2,71.9,5232.58,0
C100161,18,48,month-to-month,mailed-check,yes,no,37.75,0,0,0,13,1,60.85,2911.79,0
C100162,36,29,month-to-month,electronic-check,yes,no,9.63,2,1,1,16,1,64.81,1932.2,1
C100163,37,29,one-year,electronic-check,no,no,8.14,0,0,1,10,0,33.99,991.39,0
C100164,37,30,month-to-month,electronic-check,yes,no,71.49,2,1,0,11,0,36.81,1058.03,1
C100165,56,59,month-to-month,electronic-check,yes,yes,10.42,0,1,0,19,1,51.34,3103.07,1
C100166,24,23,two-year,electronic-check,yes,no,44.0,1,0,0,10,2,64.13,1582.68,0
C100167,29,12,month-to-month,credit-card,yes,no,31.31,0,0,0,12,0,73.4,966.12,0
C100168,18,24,two-year,electronic-check,yes,no,12.51,1,0,2,10,1,96.1,2395.96,1
C100169,33,1,two-year,credit-card,no,no,12.64,1,0,2,13,0,69.6,122.77,0
C100170,34,7,month-to-month,electronic-check,yes,no,17.74,1,1,1,7,2,31.01,240.68,0
C100171,33,6,month-to-month,electronic-check,yes,no,44.62,0,0,1,13,2,91.3,668.57,1
C100172,52,56,month-to-month,credit-card,yes,no,15.45,0,0,1,17,1,60.83,3393.5,0
C100173,49,52,one-year,electronic-check,yes,no,35.03,4,0,2,14,0,38.4,2033.64,0
C100174,40,50,two-year,electronic-check,no,no,28.72,0,0,2,16,1,88.49,4549.23,0
C100175,35,33,two-year,credit-card,yes,no,29.35,0,0,1,16,1,60.26,2001.57,0
C100176,51,52,two-year,electronic-check,no,no,73.07,1,0,0,15,0,47.91,2570.52,0
C100177,39,11,month-to-month,electronic-check,no,no,33.12,0,1,1,18,0,50.59,662.75,1
C100178,29,65,month-to-month,credit-card,yes,no,29.06,0,0,1,12,0,52.9,3470.33,0
C100179,18,36,month-to-month,mailed-check,yes,no,4.61,1,0,0,12,2,80.43,2927.7,0
C100180,34,68,two-year,bank-transfer,no,no,52.36,0,0,0,15,1,70.73,4857.68,0
C100181,48,11,month-to-month,electronic-check,no,no,38.37,1,0,0,14,1,57.09,696.75,0
C100182,66,36,month-to-month,electronic-check,yes,no,28.29,0,1,0,9,1,39.9,1562.63,0
C100183,40,50,month-to-month,mailed-check,yes,no,17.64,1,1,0,10,0,46.7,2354.23,1
C100184,30,36,month-to-month,bank-transfer,yes,no,4.87,0,1,3,15,2,66.44,2432.12,0
C100185,25,32,month-to-month,electronic-check,yes,no,32.6,2,1,0,13,0,48.23,1587.24,1
C100186,46,12,month-to-month,credit-card,no,no,22.63,0,0,0,13,3,83.68,1091.9,0
C100187,18,27,two-year,credit-card,yes,no,69.52,0,1,1,23,1,69.55,1946.39,0
C100188,46,17,one-year,bank-transfer,yes,no,35.16,0,0,0,17,1,79.79,1377.65,0
C100189,49,22,month-to-month,mailed-check,yes,no,24.81,0,1,0,19,1,67.29,1504.55,1
C100190,44,49,one-year,bank-transfer,yes,no,83.55,0,0,1,12,0,70.55,3555.47,0
C100191,36,46,month-to-month,bank-transfer,no,no,22.55,0,0,1,15,1,60.64,2894.81,1
C100192,46,44,one-year,electronic-check,yes,yes,65.69,0,0,1,16,0,78.68,3493.64,0
C100193,41,26,month-to-month,credit-card,no,no,3.82,1,0,2,12,2,65.0,1797.41,0
C100194,30,70,one-year,mailed-check,yes,no,94.17,0,0,1,20,3,68.92,4811.5,0
C100195,61,6,month-to-month,credit-card,yes,no,44.45,0,1,1,11,1,83.69,594.86,1
C100196,35,25,month-to-month,credit-card,yes,no,11.37,1,0,1,15,2,71.48,1846.52,0
C100197,48,8,one-year,electronic-check,yes,no,77.85,0,0,2,16,1,54.33,501.06,1
C100198,18,24,one-year,mailed-check,no,no,2.78,0,0,1,15,0,41.76,996.17,0
C100199,54,70,one-year,mailed-check,yes,no,8.35,0,1,0,7,0,49.54,3544.98,0
C100200,57,26,month-to-month,mailed-check,no,yes,31.85,1,0,0,9,1,59.49,1594.83,0
C100201,39,66,month-to-month,credit-card,yes,no,52.6,1,0,1,17,0,63.15,4203.97,1
C100202,46,36,one-year,electronic-check,no,no,28.56,1,1,1,15,1,74.13,2726.19,0
C100203,46,51,month-to-month,bank-transfer,yes,no,5.23,0,0,0,16,0,55.68,2920.82,0
C100204,31,33,month-to-month,credit-card,no,no,12.37,0,1,0,15,2,79.17,2689.11,0
C100205,46,19,month-to-month,credit-card,yes,yes,15.21,0,1,3,13,2,78.89,1588.66,1
C100206,29,55,month-to-month,electronic-check,yes,no,30.85,0,1,2,18,1,55.84,3150.86,1
C100207,32,70,month-to-month,credit-card,no,no,20.72,0,1,1,9,1,51.29,3615.61,0
C100208,53,19,month-to-month,electronic-check,no,no,49.86,0,0,0,22,1,63.86,1254.6,1
C100209,51,56,one-year,mailed-check,yes,no,4.85,0,0,1,8,2,43.47,2567.84,0
C100210,31,19,one-year,electronic-check,no,no,35.31,1,1,0,12,2,79.61,1544.66,0
C100211,30,52,one-year,bank-transfer,yes,yes,8.42,0,1,1,15,1,62.87,3256.71,0
C100212,31,57,one-year,electronic-check,no,no,59.0,2,0,0,18,0,78.12,4502.62,1
C100213,48,32,month-to-month,electronic-check,yes,no,35.6,1,1,0,15,1,79.21,2602.42,0
C100214,27,53,two-year,electronic-check,no,no,20.73,2,0,1,19,1,61.35,,0
C100215,43,19,one-year,credit-card,yes,yes,17.13,1,0,0,13,3,99.86,1973.21,1
C100216,48,5,month-to-month,bank-transfer,no,no,29.86,0,2,0,13,3,67.07,428.7,0
C100217,38,7,month-to-month,,no,no,48.84,0,0,1,22,2,79.11,615.27,0
C100218,51,32,one-year,bank-transfer,no,no,28.83,2,0,1,13,0,33.58,1125.21,0
C100219,35,65,one-year,mailed-check,no,no,20.63,1,0,1,9,1,60.41,4024.76,0
C100220,36,9,one-year,electronic-check,no,no,10.42,0,0,0,14,3,79.49,772.19,0
C100221,27,33,one-year,electronic-check,yes,yes,19.94,2,1,1,7,1,57.28,1976.51,1
C100222,51,51,two-year,mailed-check,yes,no,49.07,0,0,1,20,1,76.9,3957.28,0
C100223,30,14,two-year,credit-card,yes,no,39.43,2,2,0,13,2,78.85,1184.35,0
C100224,43,52,one-year,electronic-check,yes,no,53.54,0,0,1,9,0,65.59,3482.22,0
C100225,38,22,two-year,bank-transfer,yes,yes,9.94,1,0,0,11,0,58.2,1342.55,0
C100226,26,59,two-year,credit-card,no,no,5.16,1,2,0,16,3,73.19,4399.02,0
C100227,32,42,month-to-month,credit-card,yes,no,37.04,0,1,1,13,2,83.73,3606.77,1
C100228,56,39,one-year,electronic-check,yes,no,6.57,1,2,3,14,1,89.2,3461.61,1
C100229,41,12,month-to-month,credit-card,yes,no,53.51,0,0,1,22,3,66.07,,0
C100230,27,33,month-to-month,bank-transfer,no,yes,37.85,0,0,2,9,1,53.57,1762.38,0
C100231,43,62,month-to-month,mailed-check,yes,no,28.22,1,0,1,16,0,57.41,3595.28,0
C100232,37,1,month-to-month,credit-card,yes,no,8.76,2,1,0,14,1,78.36,184.05,0
C100233,80,55,month-to-month,electronic-check,yes,no,22.71,0,1,1,18,2,84.92,4772.49,1
C100234,42,35,month-to-month,credit-card,yes,no,19.96,0,2,2,8,1,54.14,1999.41,0
C100235,34,52,month-to-month,bank-transfer,yes,no,29.1,1,0,1,18,0,52.07,2772.25,0
C100236,56,48,one-year,credit-card,yes,no,64.5,1,0,2,21,1,76.58,3723.88,1
C100237,18,31,two-year,credit-card,no,no,10.1,1,0,2,14,0,48.43,1502.85,1
C100238,40,22,two-year,bank-transfer,no,no,17.64,1,1,2,10,0,59.46,1408.26,1
C100239,63,45,month-to-month,electronic-check,yes,no,21.07,0,0,1,21,1,55.39,2508.98,1
C100240,38,10,month-to-month,electronic-check,yes,no,55.71,2,0,0,14,1,76.37,797.74,0
C100241,18,42,two-year,credit-card,yes,no,24.5,0,1,0,16,1,69.46,2987.56,0
C100242,34,6,month-to-month,bank-transfer,no,yes,35.42,1,1,1,19,1,32.75,269.78,0
C100243,56,47,two-year,credit-card,no,no,58.7,0,0,2,25,1,88.08,4228.75,0
C100244,44,45,one-year,mailed-check,yes,no,28.15,0,0,0,14,0,79.58,3648.25,0
C100245,29,6,month-to-month,mailed-check,yes,no,17.82,0,2,1,15,1,40.85,258.32,1
C100246,31,55,month-to-month,credit-card,no,no,51.09,0,0,2,20,2,69.97,3930.48,0
C100247,32,30,month-to-month,bank-transfer,yes,no,63.0,0,0,0,20,1,49.34,1465.53,0
C100248,43,57,month-to-month,mailed-check,no,yes,33.54,0,0,0,13,1,38.6,2187.63,0
C100249,55,3,month-to-month,electronic-check,yes,no,13.44,2,0,1,19,0,65.53,232.62,0
C100250,52,13,two-year,credit-card,no,no,16.48,0,1,0,12,0,77.73,1059.75,0
C100251,44,36,one-year,credit-card,yes,no,62.59,0,1,0,21,1,65.33,2395.14,0
C100252,23,13,month-to-month,mailed-check,no,no,37.77,1,0,0,21,0,76.01,1096.34,1
C100253,23,24,month-to-month,mailed-check,no,no,18.7,2,0,1,13,0,48.18,1248.58,0
C100254,45,48,month-to-month,electronic-check,yes,yes,4.43,0,0,1,12,2,55.89,2704.6,1
C100255,23,10,month-to-month,mailed-check,no,no,38.33,1,0,0,11,1,60.2,651.36,0
C100256,36,49,one-year,,yes,no,33.68,1,2,0,12,0,47.62,2352.75,0
C100257,43,7,one-year,electronic-check,yes,no,37.84,3,0,0,15,2,74.44,573.32,0
C100258,25,12,two-year,credit-card,yes,yes,11.84,1,0,2,15,1,79.61,1052.15,1
C100259,27,42,month-to-month,mailed-check,yes,no,17.89,0,0,2,17,2,62.57,2728.6,1
C100260,38,57,month-to-month,credit-card,yes,no,46.78,0,0,1,15,1,48.06,2829.57,0
C100261,45,12,two-year,mailed-check,yes,no,1.75,0,0,0,15,1,71.64,931.45,0
C100262,52,21,one-year,electronic-check,yes,yes,17.73,0,0,0,14,2,66.66,1401.28,0
C100263,46,67,one-year,mailed-check,yes,no,6.04,0,2,3,19,1,73.55,4952.65,0
C100264,40,72,month-to-month,electronic-check,yes,no,10.63,0,0,0,10,1,54.38,3908.4,0
C100265,30,42,two-year,bank-transfer,yes,no,42.19,1,0,2,15,1,55.9,2438.14,0
C100266,26,32,month-to-month,credit-card,no,no,20.42,1,0,1,14,2,83.6,2735.24,0
C100267,33,25,month-to-month,bank-transfer,yes,yes,8.97,0,0,1,14,2,83.49,2173.92,1
C100268,44,44,one-year,credit-card,no,no,31.8,2,1,0,7,2,88.78,4046.56,1
C100269,43,43,month-to-month,credit-card,yes,no,14.37,0,0,1,8,3,79.13,3442.72,0
C100270,18,21,two-year,credit-card,yes,yes,19.81,3,0,1,14,3,102.84,2250.43,0
C100271,30,1,month-to-month,bank-transfer,yes,no,25.98,0,1,0,14,0,61.9,125.1,1
C100272,53,11,month-to-month,bank-transfer,yes,no,53.75,0,1,1,13,1,73.28,827.14,0
C100273,40,69,month-to-month,mailed-check,no,no,25.98,1,0,0,20,1,54.63,3851.18,0
C100274,22,30,two-year,electronic-check,yes,no,16.8,0,1,1,12,0,63.94,2022.73,0
C100275,67,35,one-year,bank-transfer,yes,no,30.58,1,0,2,19,1,59.49,2164.2,0
C100276,39,34,month-to-month,bank-transfer,yes,no,32.01,0,0,1,18,0,79.25,2796.84,0
C100277,44,57,month-to-month,electronic-check,no,yes,15.59,3,0,1,16,1,68.27,3962.09,1
C100278,44,4,month-to-month,credit-card,yes,no,20.41,2,1,0,14,2,66.78,345.3,1
C100279,35,6,month-to-month,electronic-check,yes,no,22.15,0,0,1,18,0,71.66,542.75,1
C100280,30,20,one-year,bank-transfer,yes,no,47.89,1,0,0,21,3,93.57,2002.1,0
C100281,64,35,month-to-month,credit-card,yes,no,1.95,0,2,0,18,2,64.42,2332.39,0
C100282,51,48,month-to-month,electronic-check,no,no,29.41,0,0,1,7,1,45.51,2198.87,0
C100283,49,35,month-to-month,credit-card,yes,no,40.11,0,0,0,23,3,82.22,2867.97,0
C100284,46,32,one-year,credit-card,yes,no,46.91,1,1,0,17,0,35.9,1230.86,0
